id,name,images,list_img,initial_coin,lv1_coin_bonus,lv0_hp,lv0_atk,lv0_def,lv0_move,lv1_hp,lv1_atk,lv1_def,lv1_move,lv2_hp,lv2_atk,lv2_def,lv2_move,lv3_hp,lv3_atk,lv3_def,lv3_move
1,ミミ,Mimi_Main.png,001_ミミ.png,12,10,9,1,1,0,11,1,1,0,11,1,1,0,11,2,2,1
2,パルナン,Parunan_Main.png,002_パルナン.png,12,10,10,1,2,0,12,1,2,0,12,1,2,0,12,2,3,1
3,ファニィ,Fanny_Main.png,003_ファニィ.png,12,10,10,1,2,0,11,1,2,0,11,1,2,0,11,2,3,1
4,アランナ,Alana_Main.png,004_アランナ.png,6,0,9,1,1,0,11,2,1,0,11,4,1,0,11,5,2,2
5,コマチ,Komachi_Main.png,005_コマチ.png,12,0,9,1,1,0,11,2,1,0,11,2,1,0,11,3,2,1
6,パッドマン,Padman_Main.png,006_パッドマン.png,6,0,9,2,2,0,11,3,2,0,11,5,2,0,11,6,2,2
7,パパラ,Papara_Main.png,007_パパラ.png,6,0,10,2,1,0,11,3,1,1,11,5,1,1,11,6,1,3
8,レン,Ren_Main.png,008_レン.png,12,10,8,2,1,0,10,2,1,0,10,2,1,0,10,3,2,1
9,Z3000,Z3000_Main.png,009_Z3000.png,6,0,10,1,2,0,12,2,2,0,12,4,2,0,12,5,2,2
10,パンダマン,Pandaman_Main.png,010_パンダマン.png,6,0,14,1,0,0,16,1,1,0,17,1,1,1,17,2,2,2
11,ルル,Lulu_Main.png,011_ルル.png,12,0,9,2,2,0,11,2,3,0,11,2,3,0,11,3,4,1
12,ヒメ,Fen_Main.png,012_ヒメ.png,6,0,10,1,0,0,12,1,1,0,12,2,1,1,12,3,2,2
13,カイセイ,HaiQing_Main.png,013_カイセイ.png,12,10,10,1,1,0,12,1,1,0,12,2,1,0,12,2,2,1
14,ミサキ,Misaki_Main.png,014_ミサキ.png,6,0,9,0,2,0,11,1,2,0,11,3,2,0,11,4,2,2
15,ナーディス,Nardis_Main.png,015_ナーディス.png,12,0,9,1,1,0,11,2,1,0,11,2,1,0,11,3,2,1
16,ジャスミン,Jasmine_Main.png,016_ジャスミン.png,6,0,9,1,0,0,11,2,0,1,11,4,0,1,11,5,0,2
17,ルカ,Luka_Main.png,017_ルカ.png,6,0,9,1,2,0,11,2,2,0,11,4,2,0,11,5,2,2
18,ナンシーロー,Nancy_Lu_Main.png,018_ナンシーロー.png,6,0,9,1,1,0,11,2,1,0,11,4,1,0,11,6,1,1
19,メガス,Megas_Main.png,019_メガス.png,12,0,9,0,2,0,11,0,3,0,11,0,3,0,11,1,4,1
20,ユメ,Zhao_Main.png,020_ユメ.png,12,0,10,1,1,0,12,1,2,0,12,1,2,0,12,2,3,1
21,アル,A.L._Main.png,021_アル.png,12,0,9,1,1,0,11,2,1,0,11,2,1,0,11,3,2,1
22,リン,Rin_Main.png,022_リン.png,12,10,9,1,1,0,11,1,1,0,11,1,1,0,11,2,2,1
23,テル,Teru_Main.png,023_テル.png,12,0,9,2,1,0,11,3,1,0,11,3,1,0,11,4,2,1
24,モーゼス,Moses_Main.png,024_モーゼス.png,6,0,11,1,1,0,13,2,1,0,13,4,1,0,13,5,1,2
25,真夢梓,Mamushi_Main.png,025_真夢梓.png,12,0,9,2,1,0,11,3,1,0,11,3,1,0,11,4,2,1
26,スミカゲ,InkShadow_Main.png,026_スミカゲ.png,6,0,10,2,1,0,12,3,1,0,12,5,1,0,12,6,1,2
27,ボニー,Bonnie_Main.png,027_ボニー.png,12,0,9,2,1,0,11,3,1,0,11,3,1,0,11,4,2,1
28,リンリン,LingLing_Main.png,028_リンリン.png,6,0,10,2,2,0,12,3,2,0,12,4,2,1,12,5,3,2
29,サイクス,Sykes_Main.png,029_サイクス.png,12,0,9,0,2,0,11,0,3,0,11,0,3,0,11,1,4,1
101,超てんちゃん,KAngel_Main.png,101_超てんちゃん.png,12,10,9,0,1,0,11,0,1,0,11,0,1,0,11,1,2,1
102,あめちゃん,Ame_Main.png,102_あめちゃん.png,6,0,9,1,4,0,11,2,4,0,11,4,4,0,11,5,4,2
103,ジル,Jill_Main.png,103_ジル.png,12,10,10,1,1,0,12,1,1,0,12,1,1,0,12,2,2,1
104,ドロシー,Dorothy_Main.png,104_ドロシー.png,12,0,8,1,0,0,10,1,1,0,10,1,1,0,10,2,2,1
105,遠野ハンナ,Hanna_Main.png,105_遠野ハンナ.png,12,10,9,1,2,0,11,1,2,0,11,1,2,0,11,2,3,1
106,橘シェリー,Sherry_Main.png,106_橘シェリー.png,12,0,10,2,1,0,12,3,1,0,12,3,1,0,12,4,2,1
