id	name	images	category	effect						
1	ボクシング	グローブ-初級	共通	グローブ-初級.png	共通	攻撃力+1。				
2	ボクシング	グローブ-中級	共通	グローブ-中級.png	共通	攻撃力+2。				
3	ボクシング	グローブ-上級	共通	グローブ-上級.png	共通	攻撃力+5。				
4	スピードローラー	スケート	共通	初級	004_スピードローラー	スケート	-0	初級.png	共通	移動力+1。
5	スピードローラー	スケート	共通	中級	005_スピードローラー	スケート	-0	中級.png	共通	移動力+2。
6	スピードローラー	スケート	共通	上級	006_スピードローラー	スケート	-0	上級.png	共通	移動力+4。
7	サンドクッキー-普通	007_サンドクッキー-普通.png	共通	HP上限+2。						
8	サンドクッキー-なかなか	008_サンドクッキー-なかなか.png	共通	HP上限+3。						
9	サンドクッキー-ウマすぎ	009_サンドクッキー-ウマすぎ.png	共通	最大HP+3。追加の最大HP2につき、攻撃力+1。						
10	ヘルメット-一般	010_ヘルメット-一般.png	共通	防御力+1。						
11	ヘルメット-普通	011_ヘルメット-普通.png	共通	防御力+2。						
12	ヘルメット-高級	012_ヘルメット-高級.png	共通	防御力+3。						
13	砥石	013_砥石.png	共通	HPが50%未満の時、攻撃力+4、受けるダメージ-1。						
14	アドレナリン注射液-高効率	014_アドレナリン注射液-高効率.png	共通	HPが半分以下時、攻撃力+8、反撃無効を得る。						
15	エクストラ-バッテリー	015_エクストラ-バッテリー.png	共通	CT-1。						
16	会員推薦状	016_会員推薦状.png	共通	ラウンドボーナスカード+1、ショップのカード価格-1。						
17	ビッグバッグ	017_ビッグバッグ.png	共通	カード使用数+1。						
18	マジックトーム	018_マジックトーム.png	共通	カード3枚使うごとに、その3枚目に使ったカードを手札に加える。						
19	スマートウォッチ	019_スマートウォッチ.png	共通	ターン終了時、手札数が5より少ない場合、カード1枚を得る。						
20	豚の貯金箱	020_豚の貯金箱.png	共通	効果カードを2枚使うごとに、コイン+3。						
21	優雅の羽	021_優雅の羽.png	共通	回避成功時、攻撃力+1（最大4スタック）。						
22	探天衛星	022_探天衛星.png	共通	全ての効果カードの効果距離+3。ターン終了時、手札が6より少ない場合、軌道レールキャノンを1枚得る。						
23	しおり	023_しおり.png	共通	効果カードダメージ+1。						
24	循環往来	024_循環往来.png	共通	強化チップの再抽選回数を3回獲得する。3ターン後、強化チップを選択し、1個獲得する。						
25	懐中電灯-強光	025_懐中電灯-強光.png	共通	モンスターへの攻撃時、【コイン】が4スタックにつき、自身の攻撃力+1。モンスターにヒット後、【コイン】を1スタック獲得する。						
26	キャッシュカード-残高少ない	026_キャッシュカード-残高少ない.png	コイン	【コイン】スタック+4。						
27	キャッシュカード-残高多い	027_キャッシュカード-残高多い.png	コイン	【コイン】スタック+7。						
28	キャッシュカード-アンリミテッド	028_キャッシュカード-アンリミテッド.png	コイン	【コイン】スタック+3、全キャラクターのラウンドボーナス+3。						
29	8面ダイス	029_8面ダイス.png	コイン	ダイスの出目が8の場合、スターコイン+8。ダイスの累計出目が8につき、【コイン】スタック+1。						
30	ATM	030_ATM.png	コイン	振り込み時、自身と対象は同時に1【コイン】とスターコイン1枚を獲得する。						
31	スターコインハンマー	031_スターコインハンマー.png	コイン	5【コイン】を獲得する。攻撃時、現在の所持スターコインが20より多い場合、現在所持しているスターコインの30%分の攻撃力を追加で獲得し、その後6スターコインを消費する。						
32	紫色の飛星	032_紫色の飛星.png	コイン	モンスターを見逃した時、そのモンスターに1ダメージを与え、【コイン】を1スタック獲得する。						
33	金色の飛星	033_金色の飛星.png	コイン	モンスターを見逃した時、そのモンスターに2ダメージを与え、【コイン】を1スタック獲得する。対象がボスの場合、【コイン】のスタック数分の追加ダメージを与える。						
34	手持ち扇風機-小	034_手持ち扇風機-小.png	マーク	スキル使用後、6マス以内のモンスターに【マーク】1つ付与。						
35	スプレー缶	035_スプレー缶.png	マーク	効果カードでモンスターにダメージを与えた後、目標モンスターに【マーク】を1つ付与。						
36	スタンダードサイト	036_スタンダードサイト.png	マーク	攻撃力+2。攻撃時、目標に【マーク】を一つ付与。						
37	イーグルアイ	037_イーグルアイ.png	マーク	攻撃時、目標に【マーク】を1つ付与し、攻撃目標の【マーク】スタック数の二倍の攻撃力上昇。						
