"rule_id","chip_id","kind","target","formula","value","source_key","unit","source_cap","min_value","condition","trigger","duration","recipient"
"R001","1","modifier","atk","fixed","1","","","","","","while_owned","while_owned","self"
"R002","2","modifier","atk","fixed","2","","","","","","while_owned","while_owned","self"
"R003","3","modifier","atk","fixed","5","","","","","","while_owned","while_owned","self"
"R004","4","modifier","move","fixed","1","","","","","","while_owned","while_owned","self"
"R005","5","modifier","move","fixed","2","","","","","","while_owned","while_owned","self"
"R006","6","modifier","move","fixed","4","","","","","","while_owned","while_owned","self"
"R007","7","modifier","max_hp","fixed","2","","","","","","while_owned","while_owned","self"
"R008","8","modifier","max_hp","fixed","3","","","","","","while_owned","while_owned","self"
"R009","9","modifier","max_hp","fixed","3","","","","","","while_owned","while_owned","self"
"R010","9","modifier","atk","floor_per_unit","1","追加最大HP","2","","","","while_owned","while_owned","self"
"R011","10","modifier","def","fixed","1","","","","","","while_owned","while_owned","self"
"R012","11","modifier","def","fixed","2","","","","","","while_owned","while_owned","self"
"R013","12","modifier","def","fixed","3","","","","","","while_owned","while_owned","self"
"R014","13","modifier","atk","fixed","4","","","","","hp_ratio<0.5","while_owned","while_owned","self"
"R015","14","modifier","atk","fixed","8","","","","","hp_ratio<=0.5","while_owned","while_owned","self"
"R016","21","counter_delta","優雅の羽ボーナス","fixed","1","","","4","","","on_dodge","permanent","self"
"R017","21","modifier","atk","per_stack","1","優雅の羽ボーナス","","4","","","while_owned","while_owned","self"
"R018","25","modifier","atk","floor_per_unit","1","コイン","4","","","target_is_monster","on_attack","while_owned","self"
"R019","31","modifier","atk","percent_of_ceil","0.3","スターコイン","","","","スターコイン>20","on_attack","this_attack","self"
"R020","36","modifier","atk","fixed","2","","","","","","while_owned","while_owned","self"
"R021","37","modifier","atk","per_stack","2","対象のマーク","","","","","on_attack_after_mark","this_attack","self"
"R022","39","modifier","atk","fixed","1","","","","","","while_owned","while_owned","self"
"R023","42","modifier","atk","fixed","2","","","","","hp_full","while_owned","while_owned","self"
"R024","42","modifier","atk","per_stack","1","ヒール","","","","hp_full","on_attack","this_attack","self"
"R025","43","modifier","atk","fixed","4","","","","","hp_full","while_owned","while_owned","self"
"R026","43","modifier","atk","per_stack","1","ヒール","","","","hp_full","on_attack","this_attack","self"
"R028","51","modifier","move","fixed","1","","","","","チャージ>5","while_owned","while_owned","self"
"R029","52","modifier","atk","fixed","2","","","","","チャージ>7","while_owned","while_owned","self"
"R030","53","modifier","move","fixed","2","","","","","次の移動強化","on_next_move","this_move","self"
"R031","57","modifier","move","fixed","2","","","","","","while_owned","while_owned","self"
"R032","58","modifier","atk","fixed","2","","","","","","while_owned","while_owned","self"
"R033","101","counter_delta","ギガントアンカーボーナス","fixed","1","","","","","","on_damage_taken","permanent","self"
"R034","101","counter_delta","ギガントアンカーボーナス","fixed","-1","","","","0","","on_turn_start","permanent","self"
"R035","101","modifier","atk","per_stack","1","ギガントアンカーボーナス","","","","","while_owned","while_owned","self"
"R036","102","modifier","atk","fixed","1","","","","","トライデント強化","while_checked","while_checked","self"
"R037","102","modifier","def","fixed","1","","","","","トライデント強化","while_checked","while_checked","self"
"R038","103","modifier","move","fixed","2","","","","","","while_owned","while_owned","self"
"R039","111","counter_delta","呪いの剣ボーナス","fixed","1","","","","","","on_monster_kill","permanent","self"
"R040","111","modifier","atk","per_stack","1","呪いの剣ボーナス","","","","","while_owned","while_owned","self"
"R041","112","modifier","atk","fixed","5","","","","","青き呪い","while_owned","while_owned","self"
"R042","112","modifier","def","fixed","5","","","","","赤き呪い","while_owned","while_owned","self"
"R043","121","event_modifier","atk","fixed","1","","","","","","on_skill_use","one_turn","all_characters_within_4"
"R044","131","modifier","atk","fixed","1","","","","","","while_owned","while_owned","self"
"R045","131","event_modifier","atk","fixed","1","","","","","ティーポット","on_attack","one_turn","self"
"R046","131","event_modifier","def","fixed","1","","","","","ティーポット","on_attack","one_turn","self"
"R047","133","modifier","atk","fixed","4","","","","","","while_owned","while_owned","self"
"R048","133","modifier","def","fixed","4","","","","","問題生徒","while_checked","while_checked","self"
"R050","145","modifier","atk","fixed","2","","","","","被ダメージ後","while_owned","this_turn","self"
"R051","146","counter_delta","反撃による永続ボーナス","fixed","1","","","","","","on_counterattack","permanent","self"
