map_id,route_id,難易度,進捗,monster_id,出現数,内容,攻撃加算,防御加算,出現位置画像
MAP0001,,,1,M0004,4,海賊サメ４体出現,0,0,Dreama_Event_01_random.png
MAP0001,,,3,M0001,1,ガオー出現,0,0,Dreama_Event_03.png
MAP0001,,普通,6,,,ガオー起動,0,0,
MAP0001,,普通,11,M0003,2,海賊精鋭２体出現,0,0,Dreama_Event_05_random.png
MAP0001,,普通|困難|悪夢,20,,,ゲームオーバー,0,0,
MAP0001,,困難,6,M0003,2,海賊精鋭２体出現,0,0,Dreama_Event_05_random.png
MAP0001,,困難,6,,,全モンスターにA+1/D+1,1,0,
MAP0001,,困難,11,,,ガオー起動,0,1,
MAP0001,,悪夢|狂気|極限,5,M0003,2,海賊精鋭２体出現,0,0,Dreama_Event_05_random.png
MAP0001,,悪夢,5,,,全モンスターにA+1/D+1,1,1,
MAP0001,,悪夢|狂気|極限,9,,,ガオー起動,0,0,
MAP0001,,悪夢,9,,,全モンスターにA+1,1,0,
MAP0001,,悪夢,13,M0004,4,海賊サメ４体出現,0,0,Dreama_Event_01_random.png
MAP0001,,悪夢,13,,,全モンスターにD+1,0,1,
MAP0001,,狂気|極限,5,,,全モンスターにA+1/D+1,1,0,
MAP0001,,狂気|極限,9,,,全モンスターにA+1,1,1,
MAP0001,,狂気,13,M0003|M0002,2|1,海賊精鋭２体、サメタラシ出現,0,0,Dreama_Event_12_random.png
MAP0001,,狂気,13,,,全モンスターにA+1/D+2,1,2,
MAP0001,,狂気|極限,18,,,ゲームオーバー,0,0,
MAP0001,,極限,12,M0004|M0002,4|1,海賊サメ４体、サメタラシ出現,0,0,Dreama_Event_12_random.png
MAP0001,,極限,12,,,全モンスターにA+1/D+1,1,1,
MAP0002,,普通|困難|悪夢|狂気,1,M0006|M0012,1|2,ガオー、氷刻青霊2体出現,0,0,
MAP0002,,普通|困難|悪夢|狂気,3,M0012|M0011,2|1,氷刻青霊2体、凶暴赤霊1体出現,0,0,
MAP0002,,普通|困難|悪夢|狂気,3,,,ガオー起動,0,0,
MAP0002,,普通|困難|悪夢|狂気,6,M0009|M0010,1|1,刀剣霊1体、長戟霊1体出現,0,0,
MAP0002,,普通|困難|悪夢,13,M0009|M0010,1|1,刀剣霊1体、長戟霊1体出現,0,0,
MAP0002,,普通|困難|悪夢,13,,,全モンスターにA+1/D+1,1,1,
MAP0002,,普通|困難|悪夢,20,,,ゲームオーバー,0,0,
MAP0002,,困難|悪夢|狂気,6,,,全モンスターにA+1/D+1,1,1,
MAP0002,,悪夢,11,M0009|M0010,1|1,全ての刀剣霊、長戟霊を破壊,0,0,
MAP0002,,悪夢,11,,,破壊した数だけガオーのH+15%/A+1/D+1,0,0,
MAP0002,,悪夢,11,,,全モンスターにA+1/D+1,1,1,
MAP0002,,狂気,10,M0009|M0010,1|1,全ての刀剣霊、長戟霊を破壊,0,0,
MAP0002,,狂気,10,,,破壊した数だけガオーのH+15%/A+1/D+1,0,0,
MAP0002,,狂気,10,,,全モンスターにA+2/D+2,2,2,
MAP0002,,狂気,12,M0009|M0010,1|1,刀剣霊2体、長戟霊1体出現,0,0,
MAP0002,,狂気,12,,,全モンスターにA+1/D+1,1,1,
MAP0002,,狂気,16,M0009|M0010,1|1,刀剣霊1体、長戟霊1体出現,0,0,
MAP0002,,狂気,19,,,ゲームオーバー,0,0,
MAP0003,,普通|困難|悪夢|狂気,1,M0018|M0017,1|3,雰囲気ロボ1体、爆竹ゲロゲロ3体出現,0,0,
MAP0003,,普通|困難|悪夢|狂気,3,M0013,1,ガオー出現,0,0,
MAP0003,,普通|困難,5,M0017,3|1,爆竹ゲロゲロ3体出現,0,0,
MAP0003,,普通|困難|悪夢|狂気,5,,,全モンスターにA+1/D+1,1,1,
MAP0003,,普通|困難,10,M0018|M0019,1|1,雰囲気ロボ1体、機械蛇龍1体出現,0,0,
MAP0003,,普通|困難,10,,,全モンスターにA+1/D+1,1,1,
MAP0003,,普通,20,,,ゲームオーバー,0,0,
MAP0003,,困難,18,,,ゲームオーバー,0,0,
MAP0003,,悪夢|狂気,5,M0018|M0019,1|2,雰囲気ロボ1体、機械蛇龍2体出現,0,0,
MAP0003,,悪夢|狂気,9,M0018|M0019,1|1,雰囲気ロボ1体、機械蛇龍1体出現,0,0,
MAP0003,,悪夢|狂気,9,,,全モンスターにA+1/D+1,1,1,
MAP0003,,悪夢|狂気,17,,,ゲームオーバー,0,0,
MAP0004,HEADMASTER,普通|困難|悪夢|狂気,1,M0022|M0025,1|3,ファイター1体、ティーポット3体出現,0,0,
MAP0004,SECURITY,普通|困難|悪夢|狂気,1,M0022|M0023,1|2,ファイター1体、ガーディアン2体出現,0,0,
MAP0004,,普通|困難|悪夢,4,M0024|M0025,1|1,ウィザード1体、ティーポット1体出現,0,0,
MAP0004,,狂気,4,M0024|M0023,1|1,ウィザード1体、ガーディアン1体出現,0,0,
MAP0004,,普通|困難|悪夢|狂気,4,,,全モンスターにA+1/D+1,1,1,
MAP0004,HEADMASTER,普通|困難|悪夢|狂気,マップ移動時,M0021|M0025,1|3,学院長代理、ティーポット3体出現,0,0,
MAP0004,SECURITY,普通|困難|悪夢|狂気,マップ移動時,M0020,1,学院警備官出現,0,0,
MAP0004,,普通|困難,10,M0023|M0025,2|2,ガーディアン2体、ティーポット2体出現,0,0,
MAP0004,,悪夢|狂気,10,M0023|M0024,2|2,ガーディアン2体、ウィザード2体出現,0,0,
MAP0004,,普通|困難,10,,,全モンスターにA+1/D+1,1,1,
MAP0004,,悪夢|狂気,10,,,全モンスターにA+1/D+2,1,2,
MAP0004,,普通,18,,,ゲームオーバー,0,0,
MAP0004,,困難,17,,,ゲームオーバー,0,0,
MAP0004,,悪夢|狂気,16,,,ゲームオーバー,0,0,
