map_id,ID,route_id,難易度,monster_id,カウンタ,内容,報酬
MAP0001,M000101,,,M0004,4,海賊サメ撃破,チップ1枚
MAP0001,M000102,,,M0003,2,海賊精鋭,チップ1枚、ボスの防御力-6
MAP0001,M000103,,,M0004,9,海賊サメ撃破,チップ1枚、進捗-1
MAP0002,M000201,,,M0012,4,氷刻青霊撃破,チップ1枚
MAP0002,M000202,,,M0009|M0010,2,刀剣霊、長戟霊を撃破,チップ1枚
MAP0002,M000203,,,M0009|M0010,5,刀剣霊、長戟霊を撃破,チップ1枚、進捗-1
MAP0003,M000301,,,M0017,4,爆竹ゲロゲロを撃破,チップ1枚
MAP0003,M000302,,,M0017,9,爆竹ゲロゲロを撃破,チップ1枚
MAP0003,M000303,,,M0018|M0019,2,雰囲気ロボ、機械龍蛇を撃破,チップ1枚
MAP0104,M010101,,,M0025,3,魔法のティーポットを撃破,チップ1枚
MAP0104,M010102,,,M0118,2,グリーティーポットを撃破,チップ1枚
MAP0104,M010103,,,M0119,2,大怪盗を撃破,チップ1枚
MAP0104,M010104,,,M0117,3,看守を撃破,チップ1枚、進捗-1
MAP0004,M000401,,普通|困難|悪夢|極限,M0022,1,ゼリーファイターを撃破,チップ1枚、マップ移動
MAP0004,M000402,,普通|困難|悪夢|極限,M0025,3,魔法のティーポットを撃破,チップ1枚
MAP0004,M000403,,普通|困難|悪夢|極限,M0025,8,魔法のティーポットを撃破,チップ1枚、進捗-1
MAP0004,M000404,,普通|困難|悪夢|極限,M0023,2,ゼリーガーディアンを撃破,チップ1枚
MAP9999,M000401,,,M0022,1,ゼリーファイターを撃破,チップ1枚、マップ移動
MAP9999,M000402,,,M0025,4,魔法のティーポットを撃破,チップ1枚
MAP9999,M000403,,,M0025,3,魔法のティーポットを撃破,チップ1枚、進捗-1
MAP9999,M000404,,,M0023,2,ゼリーガーディアンを撃破,チップ1枚
MAP0005,M000501,,普通|困難|悪夢|極限,M0032|M0033,2,コエデカフグ、ムキムキフグを撃破,チップ1枚、ルート分岐
MAP0005,M000502,,普通|困難|悪夢|極限,M0030,2,蝦兄ぃを撃破,チップ1枚
MAP0005,M000503,,普通|困難|悪夢|極限,M0030,4,蝦兄ぃを撃破,チップ1枚、進捗-1
MAP0005,M000504,,普通|困難|悪夢|極限,,4,ひょうたんを拾う,「陰陽鯉」取得、真夢梓H-20%、「逆鱗」無効
MAP0005,M000505,,普通|困難|悪夢|極限,M0031,3,金ちゃんを撃破,チップ1枚
MAP0005,M000506,,普通|困難|悪夢|極限,M0031,6,金ちゃんを撃破,チップ1枚、進捗-1
MAP0005,M000507,,普通|困難|悪夢|極限,,11,金鱗スタックを獲得,「無限の蛇」を取得、蒼鯉H-20%、「金龍」が0に
MAP0007,M000701,,,M0050,1,ニワトリ係を撃破,クジャクの試練に入る
MAP0007,M000702,,,,2,神秘的な卵を集める,オシドリの試練に入る
MAP0007,M000703,,,M0051,3,お出迎え係を撃破する,チップ1枚
MAP0007,M000704,,,M0049,2,センズル係を撃破する,チップ1枚
MAP0007,M000705,,,,1,ヒメを撃破する,ヒメを解放する
MAP0006,M000601,,,,1,誰かがレベルアップ,誰かが「支援タイプのガム」を獲得
MAP0006,M000602,,,M0038,3,さるの助手君を撃破,チップ1枚
MAP0006,M000603,,,M0041,1,天崩を撃破,チップ1枚
MAP0006,M000604,,,M0042,1,厄兆を撃破,チップ1枚
MAP0006,M000605,,,M0039,3,ゴリラフランケンちゃんを撃破,チップ1枚、進捗-1
MAP0004,M_MAP0004_HEADMASTER_K_01,HEADMASTER,狂気,M0022,1,ゼリーファイターを撃破,チップ1枚、マップ移動
MAP0004,M_MAP0004_HEADMASTER_K_02,HEADMASTER,狂気,M0025,3,魔法のティーポットを撃破,チップ1枚
MAP0004,M_MAP0004_HEADMASTER_K_03,HEADMASTER,狂気,M0025,8,魔法のティーポットを撃破,チップ1枚、進捗-1
MAP0004,M_MAP0004_HEADMASTER_K_04,HEADMASTER,狂気,M0023,2,ゼリーガーディアンを撃破,チップ1枚
MAP0004,M_MAP0004_SECURITY_K_01,SECURITY,狂気,M0022,1,ゼリーファイターを撃破,チップ1枚、マップ移動
MAP0004,M_MAP0004_SECURITY_K_02,SECURITY,狂気,M0025,4,魔法のティーポットを撃破,チップ1枚
MAP0004,M_MAP0004_SECURITY_K_03,SECURITY,狂気,M0025,3,魔法のティーポットを撃破,チップ1枚、進捗-1
MAP0004,M_MAP0004_SECURITY_K_04,SECURITY,狂気,M0023,2,ゼリーガーディアンを撃破,チップ1枚
MAP0005,M_MAP0005_COMMON_K_01,COMMON,狂気,M0032|M0033,2,コエデカフグ、ムキムキフグを撃破,チップ1枚、ルート分岐
MAP0005,M_MAP0005_MAMUSHI_K_01,MAMUSHI,狂気,M0030,2,蝦兄ぃを撃破,チップ1枚
MAP0005,M_MAP0005_MAMUSHI_K_02,MAMUSHI,狂気,M0030,4,蝦兄ぃを撃破,チップ1枚、進捗-1
MAP0005,M_MAP0005_MAMUSHI_K_03,MAMUSHI,狂気,,4,ひょうたんを拾う,「陰陽鯉」取得、真夢梓H-20%、「逆鱗」無効
MAP0005,M_MAP0005_SOURI_K_01,SOURI,狂気,M0031,3,金ちゃんを撃破,チップ1枚
MAP0005,M_MAP0005_SOURI_K_02,SOURI,狂気,M0031,6,金ちゃんを撃破,チップ1枚、進捗-1
MAP0005,M_MAP0005_SOURI_K_03,SOURI,狂気,,11,金鱗スタックを獲得,「無限の蛇」を取得、蒼鯉H-20%、「金龍」が0に
