map_id,monster_id
MAP0001,M0001
MAP0001,M0002
MAP0001,M0003
MAP0001,M0004
MAP0001,M0005
MAP0002,M0006
MAP0002,M0007
MAP0002,M0008
MAP0002,M0009
MAP0002,M0010
MAP0002,M0011
MAP0002,M0012
MAP0002,M0005
MAP0003,M0013
MAP0003,M0014
MAP0003,M0015
MAP0003,M0016
MAP0003,M0017
MAP0003,M0018
MAP0003,M0019
MAP0004,M0020
MAP0004,M0021
MAP0004,M0022
MAP0004,M0023
MAP0004,M0024
MAP0004,M0025
MAP0004,M0026
MAP0004,M0005
MAP0005,M0027
MAP0005,M0028
MAP0005,M0029
MAP0005,M0030
MAP0005,M0031
MAP0005,M0032
MAP0005,M0033
MAP0005,M0034
MAP0005,M0035
MAP0005,M0004
MAP0005,M0005
MAP0006,M0036
MAP0006,M0037
MAP0006,M0038
MAP0006,M0039
MAP0006,M0040
MAP0006,M0041
MAP0006,M0042
MAP0006,M0043
MAP0006,M0005
MAP0007,M0044
MAP0007,M0045
MAP0007,M0046
MAP0007,M0047
MAP0007,M0048
MAP0007,M0049
MAP0007,M0050
MAP0007,M0051
MAP0007,M0017
MAP0101,M0101
MAP0101,M0102
MAP0101,M0103
MAP0101,M0104
MAP0101,M0040
MAP0101,M0022
MAP0101,M0023
MAP0101,M0024
MAP0101,M0025
MAP0101,M0026
MAP0101,M0105
MAP0101,M0005
MAP0102,M0106
MAP0102,M0107
MAP0102,M0108
MAP0102,M0104
MAP0102,M0029
MAP0102,M0030
MAP0102,M0031
MAP0102,M0032
MAP0102,M0033
MAP0102,M0002
MAP0102,M0004
MAP0102,M0105
MAP0102,M0005
MAP0103,M0109
MAP0103,M0110
MAP0103,M0104
MAP0103,M0111
MAP0103,M0112
MAP0103,M0113
MAP0103,M0114
MAP0103,M0105
MAP0103,M0005
MAP0104,M0115
MAP0104,M0116
MAP0104,M0117
MAP0104,M0118
MAP0104,M0024
MAP0104,M0025
MAP0104,M0026
MAP0104,M0005
