map_id,マップ名,image,表示,route_id,ルート名,移動先image,ルート難易度
MAP0001,夢想号,Layout_Dreama.png,1,,,,
MAP0002,御魂の祭,Layout_Soul_Celebration.png,1,,,,
MAP0003,水郷古鎮,Layout_Water_Town.png,1,,,,
MAP0004,魔法学院,Layout_Magic_Academy.png,1,,,,
MAP0005,龍宮遊園地,Layout_Dragon_Palace_Amusement_Park.png,1,,,,
MAP0006,幽魂路地,Layout_Ghost_Alley.png,1,,,,
MAP0007,龍星の中庭,Layout_Garden_Courtyard.png,1,,,,
MAP0101,予選運動場,Layout_Qualifier's_Field.png,,,,,
MAP0102,トーナメント運動場,Layout_Knockout_Round_Stadium.png,,,,,
MAP0103,決勝大会場,Layout_Grand_Final_Arena.png,,,,,
MAP0104,異変図書館,Layout_Anomalous_Library.png,1,,,,
MAP0004,魔法学院,Layout_Magic_Academy.png,,HEADMASTER,学院長√,Layout_Magic_Academy_2.png,普通|困難|悪夢|狂気
MAP0004,魔法学院,Layout_Magic_Academy.png,,SECURITY,警備官√,Layout_Magic_Academy_3.png,普通|困難|悪夢|狂気
MAP0005,龍宮遊園地,Layout_Dragon_Palace_Amusement_Park.png,,COMMON,共通,,普通|困難|悪夢|狂気
MAP0005,龍宮遊園地,Layout_Dragon_Palace_Amusement_Park.png,,MAMUSHI,真夢梓√,,普通|困難|悪夢|狂気
MAP0005,龍宮遊園地,Layout_Dragon_Palace_Amusement_Park.png,,SOURI,蒼鯉√,,普通|困難|悪夢|狂気
