monster_id,image,モンスター名,種族,ボス,反撃,難易度,攻撃,防御,HP,コイン
M0001,King_Gawu_Sprite.png,海賊王ガオー,海賊王ガオー,1,1,普通,5,6,88,
M0001,King_Gawu_Sprite.png,海賊王ガオー,海賊王ガオー,1,1,困難,6,6,99,
M0001,King_Gawu_Sprite.png,海賊王ガオー,海賊王ガオー,1,1,悪夢,6,6,111,
M0001,King_Gawu_Sprite.png,海賊王ガオー,海賊王ガオー,1,1,狂気,7,6,122,
M0001,King_Gawu_Sprite.png,海賊王ガオー,海賊王ガオー,1,1,極限,7,6,155,
M0002,King_Shark_Sprite.png,サメタラシ,サメタラシ,,1,普通,3,0,18,12
M0002,King_Shark_Sprite.png,サメタラシ,サメタラシ,,1,困難,4,0,18,12
M0002,King_Shark_Sprite.png,サメタラシ,サメタラシ,,1,悪夢,4,1,20,12
M0002,King_Shark_Sprite.png,サメタラシ,サメタラシ,,1,狂気,5,2,22,12
M0002,King_Shark_Sprite.png,サメタラシ,サメタラシ,,1,極限,6,2,24,12
M0003,Elite_Pirate_Sprite.png,海賊精鋭,海賊精鋭,,1,普通,4,2,25,15
M0003,Elite_Pirate_Sprite.png,海賊精鋭,海賊精鋭,,1,困難,4,2,30,15
M0003,Elite_Pirate_Sprite.png,海賊精鋭,海賊精鋭,,1,悪夢,4,2,33,15
M0003,Elite_Pirate_Sprite.png,海賊精鋭,海賊精鋭,,1,狂気,4,2,33,15
M0003,Elite_Pirate_Sprite.png,海賊精鋭,海賊精鋭,,1,極限,4,2,35,15
M0004,Shark_Pirate_Sprite.png,海賊サメ,海賊サメ,,,普通,4,1,9,6
M0004,Shark_Pirate_Sprite.png,海賊サメ,海賊サメ,,,困難,4,1,10,6
M0004,Shark_Pirate_Sprite.png,海賊サメ,海賊サメ,,,悪夢,4,1,10,6
M0004,Shark_Pirate_Sprite.png,海賊サメ,海賊サメ,,,狂気,4,1,10,6
M0004,Shark_Pirate_Sprite.png,海賊サメ,海賊サメ,,,極限,4,1,11,6
M0005,Thief_Sprite.png,泥棒,アライグマ,,,普通,0,0,6,5
M0005,Thief_Sprite.png,泥棒,アライグマ,,,困難,0,0,6,5
